sentence_id,sentence,top_label,top_score,all_labels,all_scores
1,"Fellow-Citizens of the Senate and of the House of Representatives: Among the vicissitudes incident to life no event could have filled me with greater anxieties than that of which the notification was transmitted by your order, and received on the 14th day of the present month.",society,0.3406314551830292,"[""society"", ""governance"", ""politics"", ""economy"", ""war/security""]","[0.3406314551830292, 0.2348812222480774, 0.2117539942264557, 0.12158177047967911, 0.09115161746740341]"
2,"On the one hand, I was summoned by my Country, whose voice I can never hear but with veneration and love, from a retreat which I had chosen with the fondest predilection, and, in my flattering hopes, with an immutable decision, as the asylum of my declining years -- a retreat which was rendered every day more necessary as well as more dear to me by the addition of habit to inclination, and of frequent interruptions in my health to the gradual waste committed on it by time.",economy,0.4057590067386627,"[""economy"", ""society"", ""governance"", ""politics"", ""war/security""]","[0.4057590067386627, 0.20057369768619537, 0.1908847987651825, 0.10523276031017303, 0.09754984080791473]"
3,"On the other hand, the magnitude and difficulty of the trust to which the voice of my country called me, being sufficient to awaken in the wisest and most experienced of her citizens a distrustful scrutiny into his qualifications, could not but overwhelm with despondence one who (inheriting inferior endowments from nature and unpracticed in the duties of civil administration) ought to be peculiarly conscious of his own deficiencies.",governance,0.7304175496101379,"[""governance"", ""society"", ""politics"", ""economy"", ""war/security""]","[0.7304175496101379, 0.1286391317844391, 0.05851402133703232, 0.05680181458592415, 0.025627514347434044]"
4,In this conflict of emotions all I dare aver is that it has been my faithful study to collect my duty from a just appreciation of every circumstance by which it might be affected.,governance,0.32488223910331726,"[""governance"", ""society"", ""economy"", ""war/security"", ""politics""]","[0.32488223910331726, 0.23313233256340027, 0.2207600474357605, 0.11111904680728912, 0.11010633409023285]"
5,"All I dare hope is that if, in executing this task, I have been too much swayed by a grateful remembrance of former instances, or by an affectionate sensibility to this transcendent proof of the confidence of my fellow citizens, and have thence too little consulted my incapacity as well as disinclination for the weighty and untried cares before me, my error will be palliated by the motives which mislead me, and its consequences be judged by my country with some share of the partiality in which they originated.",society,0.3003532886505127,"[""society"", ""economy"", ""governance"", ""politics"", ""war/security""]","[0.3003532886505127, 0.2979952096939087, 0.23701812326908112, 0.10033394396305084, 0.06429943442344666]"
6,"Such being the impressions under which I have, in obedience to the public summons, repaired to the present station, it would be peculiarly improper to omit in this first official act my fervent supplications to that Almighty Being who rules over the universe, who presides in the councils of nations, and whose providential aids can supply every human defect, that His benediction may consecrate to the liberties and happiness of the people of the United States a Government instituted by themselves for these essential purposes, and may enable every instrument employed in its administration to execute with success the functions allotted to his charge.",governance,0.528700053691864,"[""governance"", ""economy"", ""society"", ""politics"", ""war/security""]","[0.528700053691864, 0.15603871643543243, 0.14056533575057983, 0.11499080806970596, 0.05970512330532074]"
7,"In tendering this homage to the Great Author of every public and private good, I assure myself that it expresses your sentiments not less than my own, nor those of my fellow citizens at large less than either.",governance,0.348808228969574,"[""governance"", ""society"", ""economy"", ""politics"", ""war/security""]","[0.348808228969574, 0.34065762162208557, 0.2038201093673706, 0.06808947771787643, 0.03862456977367401]"
8,No people can be bound to acknowledge and adore the Invisible Hand which conducts the affairs of men more than those of the United States.,society,0.3788873255252838,"[""society"", ""governance"", ""politics"", ""war/security"", ""economy""]","[0.3788873255252838, 0.33384305238723755, 0.1736745834350586, 0.06347420066595078, 0.05012084171175957]"
9,"Every step by which they have advanced to the character of an independent nation seems to have been distinguished by some token of providential agency; and in the important revolution just accomplished in the system of their united government the tranquil deliberations and voluntary consent of so many distinct communities from which the event has resulted can not be compared with the means by which most governments have been established without some return of pious gratitude, along with an humble anticipation of the future blessings which the past seem to presage.",governance,0.6161859631538391,"[""governance"", ""society"", ""politics"", ""economy"", ""war/security""]","[0.6161859631538391, 0.2135658711194992, 0.07655324041843414, 0.06437181681394577, 0.02932305634021759]"
10,"These reflections, arising out of the present crisis, have forced themselves too strongly on my mind to be suppressed.",society,0.2667185962200165,"[""society"", ""war/security"", ""politics"", ""governance"", ""economy""]","[0.2667185962200165, 0.22929470241069794, 0.1897123008966446, 0.16522492468357086, 0.14904947578907013]"
11,"You will join with me, I trust, in thinking that there are none under the influence of which the proceedings of a new and free government can more auspiciously commence.",governance,0.5855468511581421,"[""governance"", ""politics"", ""society"", ""economy"", ""war/security""]","[0.5855468511581421, 0.22824956476688385, 0.12406029552221298, 0.03735765442252159, 0.024785619229078293]"
12,"By the article establishing the executive department it is made the duty of the President ""to recommend to your consideration such measures as he shall judge necessary and expedient.""",governance,0.659904420375824,"[""governance"", ""politics"", ""society"", ""economy"", ""war/security""]","[0.659904420375824, 0.1350560039281845, 0.10446276515722275, 0.0518876351416111, 0.04868914932012558]"
